Date,p,v,pADANIPORTS,vADANIPORTS,pASIANPAINT,vASIANPAINT,pAXISBANK,vAXISBANK,pBAJAJ-AUTO,vBAJAJ-AUTO,pBAJFINANCE,vBAJFINANCE,pBAJAJFINSV,vBAJAJFINSV,pBPCL,vBPCL,pBHARTIARTL,vBHARTIARTL,pINFRATEL,vINFRATEL,pBRITANNIA,vBRITANNIA,pCIPLA,vCIPLA,pCOALINDIA,vCOALINDIA
4/21/2009,3365.300049,0,69.9924469,1186580,47.89769363,83820,64.84318542,47872470,,,3.675956249,110109,216.8412781,77135,25.24394989,1822140,310.1747437,12913419,,,84.78369141,317190,219.2379456,3785852,,
4/22/2009,3330.300049,0,71.32000732,3122725,48.21580505,155250,61.98137665,33008015,,,3.702415943,55703,226.7413788,52252,25.12947655,2209332,307.1998901,10264637,,,82.77671814,66220,213.4586334,1555900,,
4/23/2009,3423.699951,0,72.19584656,2400665,48.44494629,246400,65.90650177,32260005,,,3.749229431,307972,225.3413849,29955,25.11966896,626568,305.1734619,12284622,,,82.9945755,17360,217.2645111,830032,,
4/24/2009,3480.75,0,74.39923859,6069835,48.0055275,49620,69.52311707,34622540,,,3.78993845,108411,229.7359772,11992,25.11314392,1165248,323.2149963,15162546,,,84.60942078,658590,225.8159943,1615447,,
4/27/2009,3470,0,71.8547287,2684800,47.39356613,713920,73.1856842,33410170,,,3.816397905,19937,223.1677094,4980,24.72070503,2887128,320.5858154,7554438,,,83.95314789,114550,229.2930145,5643275,,
4/28/2009,3362.350098,0,68.13015747,1299665,47.20755005,82650,69.66751862,32536260,,,3.779760599,35252,215.9722137,5478,25.05753708,4210170,312.2650146,9661336,,,85.11867523,45990,224.6413727,2610179,,
4/29/2009,3473.949951,0,71.67955017,1737030,47.89229202,81130,73.15943146,24840940,,,3.688170433,60695,210.7557373,6547,25.35512924,5345328,324.5080566,14805666,,,87.18556213,79390,226.2389069,2102225,,
5/4/2009,3654,0,74.73114014,2346715,47.74401855,205060,79.99227905,23971715,,,3.889674664,82783,221.3322144,10586,25.14583778,1854972,327.3100891,18130854,,,86.06361389,29770,224.1715088,998365,,
5/5/2009,3661.899902,0,75.69915009,3172165,48.22927475,187080,82.35522461,32932980,,,3.960915565,266854,222.2504883,107036,24.35113525,3361548,323.6460571,8823427,,,84.27718353,25620,221.8221893,1268904,,
5/6/2009,3625.050049,0,74.00281525,1592145,47.90037537,84930,79.45406342,26688150,,,3.855070591,58400,217.9040527,7902,23.93582153,3663864,326.5561523,10417917,,,84.93621063,30240,214.1164551,1701209,,
5/7/2009,3683.899902,0,75.95728302,1400675,48.62287903,45230,82.01391602,13826565,,,3.893743992,51277,227.5623016,38312,23.49102211,3497094,337.35495,9696909,,,84.98795319,22510,216.7476959,1159661,,
